skill,path,category,priority,purpose,flow_use_case,expected_frequency,context_token_cost,overlap,security_risk,signals,recommendation,bytes
teams-planner-task-management,teams-planner-task-management,F - DOMAIN-SPECIFIC / FUTURE,P3,"Review and manage Microsoft Planner tasks from Teams workflows. Use when the user wants to inspect plans or buckets, create tasks from follow-ups, update task fields, or safely delete a Planner task.","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,LOW-MEDIUM,broad external access,Park for future integrations,2886
teams-reply-drafting,teams-reply-drafting,F - DOMAIN-SPECIFIC / FUTURE,P3,Draft Microsoft Teams replies from available context. Use when the user wants help finding messages that likely need a response and preparing reply drafts.,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,LOW-MEDIUM,broad external access; global/local config,Park for future integrations,3173
tearsheet,tearsheet,H - IRRELEVANT TO FLOW,P4,Quick one-page company overview and snapshot,No clear current Flow use case found.,Unlikely,High,None obvious,LOW-MEDIUM,broad external access,Candidate to disable after approval; review before use with credentials or shell access,9370
telemetry,telemetry,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Add and verify lightweight macOS runtime telemetry. Use when wiring Logger events or inspecting logs for windows, sidebars, menus, and actions.","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,Medium,None obvious,LOW-MEDIUM,credential handling,Keep on-demand for infra/deploy,3717
template,template,E - INFRASTRUCTURE / DEPLOYMENT,P2,>,"Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,High,None obvious,LOW-MEDIUM,credential handling,Keep on-demand for infra/deploy,13807
temporal-developer,temporal-developer,A - CORE / FREQUENT,P1,"Develop, debug, and manage Temporal applications across Python, TypeScript, Go, and Java. Use when the user is building workflows, activities, or workers with a Temporal SDK, debugging issues like non-determinism errors, stuck workflows, or","Current Flow architecture, agent, MCP, database, frontend, verification, security, or workflow work.",Frequent,Medium,None obvious,LOW-MEDIUM,shell/package execution; broad external access,Keep as core candidate,6946
test-driven-development,test-driven-development,A - CORE / FREQUENT,P1,"Use when implementing any feature or bugfix, before writing implementation code","Current Flow architecture, agent, MCP, database, frontend, verification, security, or workflow work.",Frequent,Medium,None obvious,LOW-MEDIUM,shell/package execution; broad external access,Keep as core candidate,8999
test-triage,test-triage,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Triage macOS tests across Xcode and SwiftPM. Use when narrowing failures, explaining assertions or crashes, or separating setup from regressions.","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,Low,None obvious,LOW,No notable risky pattern in sampled scan,Keep on-demand for infra/deploy,1564
testing-data-visualizations,testing-data-visualizations,D - UI/UX,P2,"Test data visualizations and dashboards. Use when the user needs chart or diagram test strategy, screenshot or image diff testing, visual regression, mocked or synthetic chart data, component or unit tests, E2E dashboard QA, interactive UML","Use for Flow interface, review, accessibility, visual evidence, and interaction quality.",On demand,High,None obvious,MEDIUM,remote dynamic instructions; credential handling; broad external access,Keep for UI work,13811
testing-handbook-generator,testing-handbook-generator,E - INFRASTRUCTURE / DEPLOYMENT,P2,>,"Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,High,None obvious,LOW-MEDIUM,credential handling; global/local config,Keep on-demand for infra/deploy,13722
theme-factory,theme-factory,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Toolkit for styling artifacts with a theme. These artifacts can be slides, docs, reportings, HTML landing pages, etc. There are 10 pre-set themes with colors/fonts that you can apply to any artifact that has been creating, or can generate a","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,Medium,None obvious,LOW,No notable risky pattern in sampled scan,Keep on-demand for infra/deploy,3124
threat-model,threat-model,C - SECURITY GATE,P1,"Use when Codex is already in the threat-modeling phase of a security scan, the user explicitly invokes $threat-model, or the user explicitly asks to create, update, or persist a repository threat model. Do not use as the primary trigger for","Run before risky code, auth, data, deployment, external-action, dependency, or agent changes.",Gate-triggered,Medium,None obvious,LOW-MEDIUM,credential handling,Keep as security gate,4533
three-webgl-game,three-webgl-game,D - UI/UX,P1,"Implement browser-game runtimes with plain Three.js. Use when the user wants imperative scene control in TypeScript or Vite with GLB assets, loaders, physics, and low-level WebGL debugging.","Use for Flow interface, review, accessibility, visual evidence, and interaction quality.",On demand,Medium,None obvious,MEDIUM,remote dynamic instructions; shell/package execution; broad external access,Keep for UI work,5833
threejs-data-visualization,threejs-data-visualization,D - UI/UX,P2,"Render WebGL-accelerated data visualizations with Three.js, raw WebGL, deck.gl, luma.gl, PixiJS, Sigma.js, Plotly WebGL traces, ECharts GL, CesiumJS, Babylon.js, or related GPU libraries. Use when the visualization needs true spatial struct","Use for Flow interface, review, accessibility, visual evidence, and interaction quality.",On demand,High,None obvious,LOW-MEDIUM,broad external access,Keep for UI work,12416
token-integration-analyzer,token-integration-analyzer,H - IRRELEVANT TO FLOW,P4,"Token integration and implementation analyzer based on Trail of Bits' token integration checklist. Analyzes token implementations for ERC20/ERC721 conformity, checks for 20+ weird token patterns, assesses contract composition and owner priv",No clear current Flow use case found.,Unlikely,High,None obvious,LOW-MEDIUM,credential handling,Candidate to disable after approval; review before use with credentials or shell access,12461
ton-vulnerability-scanner,ton-vulnerability-scanner,C - SECURITY GATE,P1,"Scans TON (The Open Network) smart contracts for 3 critical vulnerabilities including integer-as-boolean misuse, fake Jetton contracts, and forward TON without gas checks. Use when auditing FunC contracts.","Run before risky code, auth, data, deployment, external-action, dependency, or agent changes.",Gate-triggered,High,None obvious,MEDIUM,shell/package execution; credential handling,Keep as security gate,11714
tpmi-phewas-skill,tpmi-phewas-skill,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Fetch compact TPMI PheWAS summaries for single variants by accepting rsID, GRCh37, or GRCh38 input and resolving to the required GRCh38 query. Use when a user wants concise TPMI association results for one variant","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,Medium,None obvious,LOW-MEDIUM,shell/package execution,Keep on-demand for infra/deploy,2375
track-findings,track-findings,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Track validated Codex Security findings in Linear, Jira, GitHub issues, or draft GitHub security advisories. Use it for one finding or an explicitly selected batch of up to 25 findings tracked as Linear, Jira, or GitHub issues. Includes dup","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,High,None obvious,MEDIUM,remote dynamic instructions; shell/package execution; credential handling; broad external access,Keep on-demand for infra/deploy,20300
huggingface-trackio,trackio,D - UI/UX,P2,"Track and visualize ML training experiments with Trackio. Use when logging metrics during training (Python API), firing alerts for training diagnostics, or retrieving/analyzing logged metrics (CLI). Supports real-time dashboard visualizatio","Use for Flow interface, review, accessibility, visual evidence, and interaction quality.",On demand,Medium,None obvious,LOW-MEDIUM,shell/package execution; broad external access,Keep for UI work,4847
trailmark,trailmark,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Builds and queries multi-language source and binary code graphs for security analysis. Includes pre-analysis passes for blast radius, taint propagation, privilege boundaries, entry point enumeration, proxy/unresolved-call tracking, type/ref","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,High,None obvious,LOW-MEDIUM,shell/package execution,Keep on-demand for infra/deploy,17161
trailmark-finding-triage,trailmark-finding-triage,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Performs graph-assisted triage of a single security finding, SARIF result, weAudit annotation, suspicious function, or report excerpt using Trailmark reachability, entrypoint paths, taint, privilege-boundary, blast-radius, caller/callee, an","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,Medium,None obvious,MEDIUM,shell/package execution; credential handling,Keep on-demand for infra/deploy,5813
trailmark-review-gate,trailmark-review-gate,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Runs a Trailmark structural review gate over a branch, pull request, fix commit, release diff, or git ref range to detect new entrypoints, new tainted paths, removed validation or authorization calls, privilege-boundary drift, blast-radius ","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,Medium,None obvious,MEDIUM,shell/package execution; credential handling,Keep on-demand for infra/deploy,4451
trailmark-structural,trailmark-structural,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Runs full Trailmark structural analysis by building a graph, running `preanalysis()`, and reporting hotspots, taint, blast radius, privilege boundaries, attack surface, and version-gated Trailmark 0.4+/0.5+ data such as proxy counts, subgra","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,Medium,None obvious,LOW-MEDIUM,shell/package execution,Keep on-demand for infra/deploy,6156
trailmark-summary,trailmark-summary,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Runs a Trailmark summary analysis on a codebase. Returns auto-detected languages, entry point count, and dependency list. Use when vivisect or galvanize needs a quick structural overview. Triggers: trailmark summary, code summary, structura","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,Medium,None obvious,LOW-MEDIUM,shell/package execution,Keep on-demand for infra/deploy,3684
trailmark-variant-neighborhood,trailmark-variant-neighborhood,B - TASK-TRIGGERED,P2,"Expands one confirmed or suspected vulnerability into a Trailmark graph neighborhood of variant candidates by finding sibling functions, shared callers and callees, common sensitive sinks, common entrypoint paths, interface implementations,",Use only when its described task is active.,Occasional,Medium,None obvious,LOW-MEDIUM,shell/package execution,Keep on-demand,4292
transformers-js,transformers.js,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Use Transformers.js to run state-of-the-art machine learning models directly in JavaScript/TypeScript. Supports NLP (text classification, translation, summarization), computer vision (image classification, object detection), audio (speech r","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,High,None obvious,MEDIUM,shell/package execution; credential handling; broad external access,Keep on-demand for infra/deploy,22410
triage-finding,triage-finding,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Use when the user supplies or imports existing security findings, vulnerability reports, or security/vulnerability Jira/Linear tickets from scanners, advisories, GitHub, Atlassian Rovo, Linear, or similar backlog sources and wants static re","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,High,None obvious,LOW-MEDIUM,remote dynamic instructions; credential handling,Keep on-demand for infra/deploy,27972
triage-issue,triage-issue,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Intelligently triage bug reports and error messages by searching for duplicates in Jira and offering to create new issues or add comments to existing ones. When an agent needs to: (1) Triage a bug report or error message, (2) Check if an is","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,High,None obvious,MEDIUM,credential handling; broad external access,Keep on-demand for infra/deploy,19268
turbopack,turbopack,D - UI/UX,P2,"Turbopack expert guidance. Use when configuring the Next.js bundler, optimizing HMR, debugging build issues, or understanding the Turbopack vs Webpack differences.","Use for Flow interface, review, accessibility, visual evidence, and interaction quality.",On demand,High,None obvious,MEDIUM,remote dynamic instructions; shell/package execution; broad external access; global/local config,Keep for UI work,9899
turborepo,turborepo,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Turborepo expert guidance. Use when setting up or optimizing monorepo builds, configuring task caching, remote caching, parallel execution, or the --affected flag for incremental CI.","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,High,None obvious,MEDIUM,shell/package execution; credential handling; broad external access; global/local config,Keep on-demand for infra/deploy,16597
twilio-account-setup,twilio-account-setup,F - DOMAIN-SPECIFIC / FUTURE,P3,>,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,10774
twilio-agent-augmentation-architect,twilio-agent-augmentation-architect,F - DOMAIN-SPECIFIC / FUTURE,P3,>,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,LOW-MEDIUM,broad external access; global/local config,Park for future integrations,14354
twilio-agent-connect,twilio-agent-connect,F - DOMAIN-SPECIFIC / FUTURE,P3,>,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,16829
twilio-ai-agent-architect,twilio-ai-agent-architect,F - DOMAIN-SPECIFIC / FUTURE,P3,>,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,LOW-MEDIUM,credential handling; global/local config,Park for future integrations,19726
twilio-call-recordings,twilio-call-recordings,F - DOMAIN-SPECIFIC / FUTURE,P3,>,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; broad external access,Park for future integrations,10637
twilio-cli-reference,twilio-cli-reference,F - DOMAIN-SPECIFIC / FUTURE,P3,>,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,shell/package execution; credential handling; broad external access; global/local config,Park for future integrations,7637
twilio-compliance-onboarding,twilio-compliance-onboarding,F - DOMAIN-SPECIFIC / FUTURE,P3,>,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,credential handling; broad external access; global/local config,Park for future integrations,15902
twilio-compliance-traffic,twilio-compliance-traffic,F - DOMAIN-SPECIFIC / FUTURE,P3,>,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,LOW-MEDIUM,credential handling; global/local config,Park for future integrations,10972
twilio-conference-calls,twilio-conference-calls,F - DOMAIN-SPECIFIC / FUTURE,P3,>,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling,Park for future integrations,11482
twilio-content-template-builder,twilio-content-template-builder,F - DOMAIN-SPECIFIC / FUTURE,P3,>,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,5655
conversation-intelligence,twilio-conversation-intelligence,F - DOMAIN-SPECIFIC / FUTURE,P3,"Twilio Conversation Intelligence development guide. Use when building real-time or post-call conversation analysis, language operator pipelines, sentiment analysis, agent assist, cross-channel analytics, or querying aggregated conversation ","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,LOW-MEDIUM,credential handling,Park for future integrations,35385
twilio-conversation-orchestrator,twilio-conversation-orchestrator,F - DOMAIN-SPECIFIC / FUTURE,P3,>,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,credential handling; broad external access; global/local config,Park for future integrations,33442
twilio-conversations-classic-api,twilio-conversations-classic-api,F - DOMAIN-SPECIFIC / FUTURE,P3,>,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,remote dynamic instructions; shell/package execution; credential handling; global/local config,Park for future integrations,17038
twilio-customer-memory,twilio-customer-memory,F - DOMAIN-SPECIFIC / FUTURE,P3,>,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,LOW-MEDIUM,credential handling; global/local config,Park for future integrations,13352
twilio-customer-support-architect,twilio-customer-support-architect,F - DOMAIN-SPECIFIC / FUTURE,P3,>,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,credential handling; broad external access,Park for future integrations,13387
twilio-debugging-observability,twilio-debugging-observability,F - DOMAIN-SPECIFIC / FUTURE,P3,>,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,remote dynamic instructions; shell/package execution; credential handling; global/local config,Park for future integrations,16279
twilio-email-deliverability-advisor,twilio-email-deliverability-advisor,F - DOMAIN-SPECIFIC / FUTURE,P3,>,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,credential handling; broad external access,Park for future integrations,4862
twilio-email-send,twilio-email-send,F - DOMAIN-SPECIFIC / FUTURE,P3,>,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,shell/package execution; credential handling; broad external access,Park for future integrations,6917
twilio-enterprise-knowledge,twilio-enterprise-knowledge,F - DOMAIN-SPECIFIC / FUTURE,P3,>,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,remote dynamic instructions; credential handling; broad external access; global/local config,Park for future integrations,12819
twilio-iam-auth-setup,twilio-iam-auth-setup,F - DOMAIN-SPECIFIC / FUTURE,P3,>,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; broad external access; global/local config,Park for future integrations,9528
twilio-identity-verification-advisor,twilio-identity-verification-advisor,F - DOMAIN-SPECIFIC / FUTURE,P3,>,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,credential handling; broad external access,Park for future integrations,9929
twilio-lookup-phone-intelligence,twilio-lookup-phone-intelligence,F - DOMAIN-SPECIFIC / FUTURE,P3,>,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,5308
twilio-marketing-promotions-advisor,twilio-marketing-promotions-advisor,F - DOMAIN-SPECIFIC / FUTURE,P3,>,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,credential handling; broad external access,Park for future integrations,11078
twilio-messaging-channel-advisor,twilio-messaging-channel-advisor,F - DOMAIN-SPECIFIC / FUTURE,P3,>,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,LOW-MEDIUM,credential handling,Park for future integrations,6194
twilio-messaging-overview,twilio-messaging-overview,F - DOMAIN-SPECIFIC / FUTURE,P3,>,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,LOW-MEDIUM,credential handling; global/local config,Park for future integrations,5989
twilio-messaging-services,twilio-messaging-services,F - DOMAIN-SPECIFIC / FUTURE,P3,>,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,12794
twilio-messaging-webhooks,twilio-messaging-webhooks,F - DOMAIN-SPECIFIC / FUTURE,P3,>,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,8059
twilio-notifications-alerts-advisor,twilio-notifications-alerts-advisor,F - DOMAIN-SPECIFIC / FUTURE,P3,>,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,credential handling; broad external access; global/local config,Park for future integrations,9711
twilio-numbers-senders,twilio-numbers-senders,F - DOMAIN-SPECIFIC / FUTURE,P3,>,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,LOW-MEDIUM,credential handling; global/local config,Park for future integrations,13717
twilio-organizations-setup,twilio-organizations-setup,F - DOMAIN-SPECIFIC / FUTURE,P3,>,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,credential handling; broad external access,Park for future integrations,9775
twilio-rcs-messaging,twilio-rcs-messaging,F - DOMAIN-SPECIFIC / FUTURE,P3,>,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,10288
twilio-regulatory-compliance-bundles,twilio-regulatory-compliance-bundles,F - DOMAIN-SPECIFIC / FUTURE,P3,>,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,credential handling; broad external access; global/local config,Park for future integrations,7626
twilio-reliability-patterns,twilio-reliability-patterns,F - DOMAIN-SPECIFIC / FUTURE,P3,>,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,LOW,No notable risky pattern in sampled scan,Park for future integrations,11024
twilio-security-api-auth,twilio-security-api-auth,F - DOMAIN-SPECIFIC / FUTURE,P3,>,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,shell/package execution; credential handling; broad external access; global/local config,Park for future integrations,5707
twilio-security-compliance-hipaa,twilio-security-compliance-hipaa,F - DOMAIN-SPECIFIC / FUTURE,P3,>,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,LOW-MEDIUM,credential handling; global/local config,Park for future integrations,7635
twilio-security-hardening,twilio-security-hardening,F - DOMAIN-SPECIFIC / FUTURE,P3,>,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,LOW-MEDIUM,credential handling; global/local config,Park for future integrations,7414
twilio-send-message,twilio-send-message,F - DOMAIN-SPECIFIC / FUTURE,P3,>,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,7691
twilio-sendgrid-account-setup,twilio-sendgrid-account-setup,F - DOMAIN-SPECIFIC / FUTURE,P3,>,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,shell/package execution; credential handling; broad external access; global/local config,Park for future integrations,5447
twilio-sendgrid-deliverability-advisor,twilio-sendgrid-deliverability-advisor,F - DOMAIN-SPECIFIC / FUTURE,P3,>,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,credential handling; broad external access,Park for future integrations,15083
twilio-sendgrid-email-send,twilio-sendgrid-email-send,F - DOMAIN-SPECIFIC / FUTURE,P3,>,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,credential handling; broad external access; global/local config,Park for future integrations,6743
twilio-sendgrid-email-settings,twilio-sendgrid-email-settings,F - DOMAIN-SPECIFIC / FUTURE,P3,>,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,credential handling; broad external access,Park for future integrations,3992
twilio-sendgrid-engagement-quality,twilio-sendgrid-engagement-quality,F - DOMAIN-SPECIFIC / FUTURE,P3,>,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,LOW-MEDIUM,credential handling; global/local config,Park for future integrations,5629
twilio-sendgrid-inbound-parse,twilio-sendgrid-inbound-parse,F - DOMAIN-SPECIFIC / FUTURE,P3,>,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,credential handling; broad external access,Park for future integrations,4449
twilio-sendgrid-suppressions,twilio-sendgrid-suppressions,F - DOMAIN-SPECIFIC / FUTURE,P3,>,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,credential handling; broad external access; global/local config,Park for future integrations,4810
twilio-sendgrid-webhooks,twilio-sendgrid-webhooks,F - DOMAIN-SPECIFIC / FUTURE,P3,>,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,credential handling; broad external access,Park for future integrations,5865
twilio-isv-sms-best-practices,twilio-sms-isv-setup,F - DOMAIN-SPECIFIC / FUTURE,P3,>,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,11237
twilio-sms-send-message,twilio-sms-send-message,F - DOMAIN-SPECIFIC / FUTURE,P3,>,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,7503
twilio-taskrouter-routing,twilio-taskrouter-routing,F - DOMAIN-SPECIFIC / FUTURE,P3,>,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,14029
twilio-verify-send-otp,twilio-verify-send-otp,F - DOMAIN-SPECIFIC / FUTURE,P3,>,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,remote dynamic instructions; shell/package execution; credential handling; global/local config,Park for future integrations,10903
twilio-voice-conversation-relay,twilio-voice-conversation-relay,F - DOMAIN-SPECIFIC / FUTURE,P3,>,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,LOW-MEDIUM,credential handling,Park for future integrations,7566
twilio-voice-outbound-calls,twilio-voice-outbound-calls,F - DOMAIN-SPECIFIC / FUTURE,P3,>,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,10263
twilio-voice-twiml,twilio-voice-twiml,F - DOMAIN-SPECIFIC / FUTURE,P3,>,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,LOW-MEDIUM,shell/package execution,Park for future integrations,10572
twilio-webhook-architecture,twilio-webhook-architecture,F - DOMAIN-SPECIFIC / FUTURE,P3,>,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; broad external access; global/local config,Park for future integrations,15006
twilio-whatsapp-manage-senders,twilio-whatsapp-manage-senders,F - DOMAIN-SPECIFIC / FUTURE,P3,>,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,6030
twilio-whatsapp-send-message,twilio-whatsapp-send-message,F - DOMAIN-SPECIFIC / FUTURE,P3,>,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,5733
typescript-data-visualization-engineering,typescript-data-visualization-engineering,D - UI/UX,P2,"Build typed data visualizations in TypeScript. Use when the user wants TypeScript visualization code, typed data models, browser visualization components, UML-like diagram models, interactive graph or architecture diagram contracts, scroll-","Use for Flow interface, review, accessibility, visual evidence, and interaction quality.",On demand,High,None obvious,MEDIUM,remote dynamic instructions; credential handling; broad external access,Keep for UI work,10273
ucp,ucp,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Use when the user wants to use the UCP CLI to find, compare, buy, or track products from online merchants, or to set up and troubleshoot the local UCP profile required for merchant-scoped operations. Covers global catalog search (\""find me ","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,High,None obvious,LOW-MEDIUM,credential handling; global/local config,Keep on-demand for infra/deploy,19280
ui-toolkit,ui-toolkit,E - INFRASTRUCTURE / DEPLOYMENT,P2,Use when using Zoom UI Toolkit.,"Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,Low,None obvious,MEDIUM,shell/package execution; credential handling; broad external access; global/local config,Keep on-demand for infra/deploy,1283
ui-widget-developer,ui-widget-developer,D - UI/UX,P2,/,"Use for Flow interface, review, accessibility, visual evidence, and interaction quality.",On demand,High,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Keep for UI work,23070
ukb-topmed-phewas-skill,ukb-topmed-phewas-skill,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Fetch compact UKB-TOPMed PheWAS summaries for single variants by accepting rsID, GRCh37, or GRCh38 input and resolving to the required GRCh38 query. Use when a user wants concise UKB-TOPMed association results for one variant","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,Medium,None obvious,LOW-MEDIUM,shell/package execution,Keep on-demand for infra/deploy,2427
uml-and-software-architecture-visualization,uml-and-software-architecture-visualization,D - UI/UX,P2,"Design, critique, read, write, render, and implement UML and UML-like software diagrams. Use when the user mentions UML, sequence diagrams, class diagrams, activity diagrams, state machines, use case diagrams, component diagrams, deployment","Use for Flow interface, review, accessibility, visual evidence, and interaction quality.",On demand,High,None obvious,MEDIUM,remote dynamic instructions; shell/package execution; broad external access; global/local config,Keep for UI work,12309
